feature_name,feature_importance,rank
pca.expl_var.cor_init,0.23907668544272012,1
ic.eps.ratio,0.20085369162590327,2
ic.eps.s,0.17435217347805196,3
ela_level.lda_mda_25,0.16918925463922915,4
ela_level.lda_qda_10,0.11409491181932381,5
pca.expl_var_PC1.cor_x,0.11057644678043684,6
ela_level.qda_mda_50,0.09951536290300352,7
ela_distr.kurtosis,0.08480047058166057,8
ela_distr.number_of_peaks,0.06250838789381424,9
ela_level.lda_qda_25,0.062302314453438486,10
ela_distr.skewness,0.06121091525419836,11
ic.eps.max,0.04902156040369914,12
ela_level.mmce_lda_10,0.046687309312598256,13
ela_meta.quad_simple.cond,0.03637892739087976,14
ela_meta.lin_simple.coef.max_by_min,0.03273789979423139,15
