feature_name,feature_importance,rank
disp.diff_mean_02,0.07878799442470082,1
ic.eps.max,0.07798863981963947,2
ela_meta.quad_w_interact.adj_r2,0.06356784442355355,3
ela_level.lda_qda_50,0.06116516867077102,4
disp.ratio_mean_02,0.060678380511426024,5
ic.eps.ratio,0.057314001221167164,6
disp.ratio_median_02,0.051049404403322146,7
ela_level.lda_qda_10,0.04289429669334386,8
disp.diff_mean_25,0.04041351238033017,9
disp.diff_median_25,0.038360852335876765,10
ela_level.mmce_lda_10,0.03668151491928561,11
ela_level.lda_mda_25,0.03504819174740409,12
ela_meta.lin_simple.coef.min,0.027541808710985567,13
disp.ratio_mean_05,0.02648549327798257,14
disp.diff_median_10,0.025976508327082246,15
