f_id,i_id,ic.eps.ratio,ic.eps.s,pca.expl_var.cor_init,ic.eps.max,ela_distr.kurtosis,ela_level.lda_qda_10,ela_meta.quad_simple.cond,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_distr.skewness,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_10,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.sd_ratio,pca.expl_var.cov_init,ela_level.qda_mda_50,ela_level.qda_mda_10,nbc.nn_nb.cor,ic.h.max,ela_meta.lin_simple.coef.max,ela_level.lda_qda_25,disp.diff_mean_25,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_25,nbc.nb_fitness.cor,ela_level.lda_qda_50,disp.ratio_median_25,ela_level.lda_mda_10,ela_level.lda_mda_25
1,3,-0.1868776125691476,-0.19054651223600355,-0.16479331534873787,-0.04000729027770289,-0.025401741384363574,0.0014220320142755982,-0.010110842226274785,-0.025476201964959755,-0.04248140031327474,-0.020598363340406434,0.06533510234784795,-0.03013553686219428,-0.044126905470227684,0.014587702187484286,-0.250699771037468,-0.011375382050006877,-0.01071708043385644,-0.01400554249222874,-0.16204516434470662,0.09464301298068856,-0.05268331380689062,-0.021637336535770046,-0.06488398818265106,-0.06658530785373762,-0.04880488207886491,-0.009402568634024777,-0.020589513586053654,-0.04240156587123867,0.03876297652884886,-0.008232335199617191
2,3,0.25504460240231464,0.21765698849698004,0.0,-0.04100060007404738,-0.06874850473665792,0.2384744274704641,-0.5157148004683744,0.11238051751711936,0.015952013739282317,0.0,-0.05210116595140765,0.07788062568588666,-0.015447621289288782,-0.9375553101839377,0.0209408895189086,0.0,-0.05555898063698489,0.12194518481059137,0.026700399241854716,0.02508516690317647,-0.021190045823653136,0.06329979831732255,0.0,0.03800459376728617,0.12624694132734224,-0.018709198624785345,0.014724651113956336,0.0,0.12009769301160461,-0.01847775089445558
3,3,-0.045111206287310246,-0.06757528057004691,-0.08242741380477336,-0.012225134159189133,-0.034156449257786825,-0.019058664909697542,0.023816301546367546,-0.0569508771800612,-0.027626341082396866,-0.014611262661469226,-0.02949391230643328,-0.05473023235750746,-0.038851954073254424,0.03862453942424843,0.023593582899726906,0.004504859038932274,-0.022771580871508657,-0.01524849484669627,0.0,-0.1767946650668074,-0.05412242548605317,-0.01318045042964,0.01755207514781565,0.11199425392488366,0.0006570987078050039,-0.020123866593670436,0.00636614633003818,0.0197790427132441,-0.06145432124348682,-0.01242757290132368
4,3,-0.019856257105359765,-0.019443665650729955,-0.1494984263225035,-0.01809143336118396,-0.025968407648748804,-0.01872163159454987,0.021384082810372157,-0.0064963459672451596,-0.02691391084589967,-0.022435101395962276,-0.031520094928806114,-0.01700653041929706,-0.02535459649177213,0.09927026425663268,0.035368837427157726,0.03114742277690316,0.0,-0.023794253841536522,0.031682481029982265,-0.009548323827661076,-0.04731237825151749,0.001924234259099017,0.014494361274331152,0.013239352812645488,-0.025422935181904138,-0.01992642880528947,-0.00976176654226768,0.021688302666141926,-0.022506980314012298,-0.013204129984043078
5,3,-0.09916417655521914,-0.09897523542384423,-0.04602998826046023,-0.022494335498070228,-0.04376311741903649,0.0,0.0,-0.05322504784933069,-0.2813763054527145,-0.009088055091253544,-0.05478587953138192,-0.19380003038142524,-0.03856723749964952,0.015223195509647458,0.03383042293533656,0.028337675431946985,-0.01615764960067756,-0.018301345951563963,0.009952750739501193,0.021671027429915612,-0.03228552354361003,-0.12266305420796542,-0.011693123024592689,0.04109853780070538,-0.11568497590581261,-0.005835112196639458,-0.002894295959929516,-0.019512371168487752,-0.032653130797520635,-0.05279457047521685
6,3,0.11909330989099459,0.07386449615440574,-0.04590172829588196,-0.02287743789933494,-0.01908134510730515,-0.0324512748542726,0.020062207471907775,0.00955310812006939,0.02682536993420888,-0.003185315898617279,-0.018815651316361308,0.013624554351694004,-0.02461213705632824,0.03946395871807257,0.010329641024265257,0.010727914275658612,0.006110648326155613,-0.018424767658308437,0.006673024992140786,0.013641033721006224,-0.042785369645675655,-0.017463516422505633,0.0049397609914924034,0.029222030994298154,0.014863925275804851,-0.019870194497649568,0.009906159479491847,0.008783683588675012,-0.011719557315754886,-0.018572529823808137
7,3,-0.11144374851624056,-0.09170258520475866,-0.01338301413356957,-0.018231664651620516,-0.04382852699864681,-0.023450216790202205,0.030606937587090266,-0.026182292742232216,0.008764252686211726,-0.03736523951735088,-0.004840992282710954,0.013115262573064279,-0.02785217393552203,0.052655882886692595,-0.03406961735456804,0.020845596733752525,0.012322887788039416,-0.014346474095485617,-0.04736997059831355,-0.015052063186993148,-0.03656594614559128,-0.045432396131479535,-0.04167460834718234,-0.07343662430988457,0.008466727993354295,-0.054899461558530205,0.0,-0.04372183249415762,-0.018148333349082446,-0.02466263656137313
8,3,0.20167991146700093,0.14592154298897791,-0.14487714905207413,-0.013111983608222272,-0.03550874068982873,-0.02706043068990449,0.020311170344486817,0.0030372078583865147,0.10629673343852075,-0.021978177969005752,0.019916529123272464,0.08744334291026601,-0.03835359160811869,0.051224834805269626,0.004015637861443266,0.016903197355748967,-0.002830982939620086,-0.015823438102024884,0.020377261573018696,0.015188905530386487,-0.034125457463105247,-0.0032549053683479934,0.02862789765371404,0.022589183084621323,0.006164412363925592,0.0068749139963436845,-0.00974957338852006,0.020853631162427666,-0.0028800741629978477,-0.012207954964882417
9,3,0.26903113359317155,0.20718613094527405,0.12678505370697968,-0.01845720406866702,-0.018158151985223747,0.029154801965322608,0.013020006210235135,-0.019881821660914123,0.022753041200042734,-0.014801103052595854,0.04089679161884385,0.012187562224030835,-0.02551690467125578,0.04594421549587113,0.06658550883661174,0.02064243518341302,0.07684928337875419,0.028378321805096807,0.035123284098238616,0.0025970557361224555,-0.025900586551894866,-0.012197983962761338,0.04494630273105393,0.026962779269101844,0.025295392755395163,-0.010579678301761597,0.014552354852894633,0.054159862540022585,0.03773084237831137,-0.015485758326818644
10,3,0.3798449487341805,0.31224825744602835,0.11641643706536331,0.0,-0.061447132215608935,0.11862799414662117,0.012742515296476076,0.0,0.03694292187015191,0.008994077145645707,0.05429670769303019,0.048960428242304954,-0.03165165546733684,0.09176704770226718,-0.015668206156130515,0.059587828039012414,-0.030260319839429117,0.06043369163545853,0.0,0.035010568219144056,-0.02659984766152751,0.2061929186253566,0.048683063312133235,-0.053709879767395885,-0.09781430020266679,0.005301124640019084,0.034754464842509436,0.023278082913365306,0.0,0.21252110001489255
