feature_name,feature_importance,rank
ic.eps.ratio,0.12977817263459276,1
ic.eps.s,0.113386124969816,2
ic.eps.max,0.11095631123059459,3
ela_meta.quad_simple.cond,0.07266101697070862,4
pca.expl_var.cor_init,0.061860751337457866,5
ela_level.lda_mda_25,0.05565962860604302,6
ela_distr.kurtosis,0.05211593578034773,7
ela_meta.lin_simple.coef.max_by_min,0.0511887064876371,8
ela_level.lda_qda_10,0.046779192641240926,9
ic.h.max,0.042143550820497984,10
ela_level.lda_qda_25,0.041705785423786966,11
ela_level.qda_mda_10,0.039615928025932196,12
nbc.nn_nb.sd_ratio,0.03728837555200371,13
ela_distr.number_of_peaks,0.03639947796949882,14
ela_level.mmce_lda_10,0.03583467972292618,15
ela_distr.skewness,0.0355610783483932,16
ela_level.lda_mda_50,0.03472146945239409,17
ela_meta.quad_simple.adj_r2,0.0344983788848367,18
nbc.nb_fitness.cor,0.034298224845591876,19
pca.expl_var_PC1.cor_x,0.033678497396691105,20
ela_level.qda_mda_50,0.03221725205186384,21
ela_level.mmce_mda_10,0.030160364818751517,22
nbc.nn_nb.cor,0.029021403953221434,23
nbc.dist_ratio.coeff_var,0.02797657678765794,24
ela_meta.lin_simple.intercept,0.02716613031599495,25
ic.m0,0.025699803602397042,26
disp.diff_mean_25,0.02524314092275863,27
nbc.nn_nb.mean_ratio,0.024889397613076663,28
disp.ratio_median_25,0.02335329392997199,29
ela_meta.lin_simple.coef.max,0.018464437574534105,30
