f_id,i_id,dim0,dim1
1,5,7.823674,5.006563
2,5,3.4525673,4.7125635
3,5,-0.16286229,1.7991393
4,5,0.16276821,1.7111797
5,5,5.499813,6.2169666
6,5,6.693365,7.9122763
7,5,6.6701517,8.056421
8,5,7.9251256,4.079504
9,5,-1.8446789,2.2209206
10,5,1.6302704,2.846128
11,5,1.6246461,2.8337536
12,5,6.7142844,11.04787
13,5,-0.23315959,2.1404688
14,5,7.909124,5.5836763
15,5,-0.024245463,2.2854707
16,5,-1.5556335,3.6042364
17,5,8.936415,8.505304
18,5,8.9187565,8.6459
19,5,-2.1324434,0.9446079
20,5,7.4673276,4.8182654
21,5,8.816103,10.022712
22,5,8.871209,9.662099
23,5,8.985482,11.160905
24,5,0.17712377,4.040034
