f_id,i_id,dim0,dim1
1,1,7.342241,5.0311623
1,2,6.805172,5.67667
1,3,6.4937615,5.766814
1,4,6.8723497,5.0101013
2,1,3.764182,4.1488237
2,2,3.8583777,4.3984027
2,3,3.0309684,4.0096216
2,4,3.439266,4.1416316
3,1,-1.0759672,2.5322099
3,2,7.096961,3.19859
3,3,6.631925,6.1844764
3,4,6.717326,3.5170667
4,1,-0.69560516,2.6700206
4,2,7.3047876,3.2848208
4,3,6.8662558,3.2286613
4,4,7.3187203,3.4652328
5,1,5.996133,6.519332
5,2,5.941811,6.6404166
5,3,6.137105,6.3497667
5,4,5.9423356,6.2885785
6,1,6.848878,6.097473
6,2,7.1193237,5.62278
6,3,7.354145,5.914627
6,4,6.9600253,6.3638344
7,1,7.181421,8.769429
7,2,7.4074273,8.479695
7,3,7.288793,8.32547
7,4,8.331308,9.020814
8,1,-0.81884354,1.5595107
8,2,7.0492797,3.6331224
8,3,6.8365536,3.8716488
8,4,-0.5613669,1.3010968
9,1,-1.4652666,1.8990986
9,2,-1.2157247,1.7956427
9,3,-0.94434255,1.8031052
9,4,-1.3170985,1.7330102
10,1,2.0289984,4.0116496
10,2,1.6468387,3.7925673
10,3,2.3400786,3.492661
10,4,2.1721988,4.12037
11,1,2.0378616,3.1588657
11,2,1.8636204,3.1808674
11,3,1.8623816,3.6514452
11,4,1.8560722,3.9830155
12,1,7.1308503,10.451293
12,2,6.9660006,10.588475
12,3,6.6561775,10.518543
12,4,6.8802257,10.649999
13,1,7.393483,3.9093063
13,2,7.31805,4.0452695
13,3,-0.7350565,1.9521673
13,4,-0.63510036,1.7638267
14,1,7.6429276,7.37412
14,2,7.448924,7.593934
14,3,7.7981286,8.022841
14,4,8.336006,8.349943
15,1,-0.545843,2.550085
15,2,-0.19222692,2.8702178
15,3,-0.074080035,2.3310406
15,4,-0.42691424,3.112809
16,1,-1.2697179,4.009368
16,2,-1.0327415,3.7635596
16,3,-0.95894504,4.066957
16,4,-0.80487216,3.6949615
17,1,8.177725,8.025186
17,2,8.007471,9.199663
17,3,7.180192,7.111954
17,4,8.47891,8.953875
18,1,7.9584956,8.3995905
18,2,8.161786,8.629066
18,3,7.4313827,6.8792233
18,4,7.921193,8.750524
19,1,-1.5784804,1.1382807
19,2,-1.4306904,0.9567621
19,3,-1.7240642,1.3130631
19,4,-1.4794369,0.87631977
20,1,7.1181393,4.8239784
20,2,6.955885,4.6849446
20,3,6.68688,4.981468
20,4,6.7201324,4.482303
21,1,8.211721,10.409585
21,2,7.945956,10.118025
21,3,8.405935,10.323551
21,4,7.728252,10.373068
22,1,7.561782,10.064857
22,2,8.275655,9.825942
22,3,7.8959675,10.054361
22,4,7.769067,9.683979
23,1,8.41748,11.394013
23,2,8.343572,11.304102
23,3,8.4332285,11.063374
23,4,8.261801,11.164089
24,1,0.30474132,3.485585
24,2,0.5420976,3.6999826
24,3,0.115600534,3.538362
24,4,0.1169736,3.345139
