,f_id,i_id,true,predicted,treshold_true,label_true,percentage_change_predicted,threshold_predicted,label_predicted,label
0,1,1,0.00446834492162,0.1184159778166425,1.0977459561855567,good,2550.1082591831505,5,poor,"good, poor"
1,2,1,0.4911863999145448,0.8756267039566155,1.0977459561855567,good,78.26770124517992,5,poor,"good, poor"
2,3,1,1.588518187265833,1.7211313243223183,1.0977459561855567,poor,8.348229067791783,5,poor,"poor, poor"
3,4,1,1.6949747254414391,1.871614667409243,1.0977459561855567,poor,10.421390910227283,5,poor,"poor, poor"
4,5,1,0.1239705023300825,0.1646279700778721,1.0977459561855567,good,32.79608211922501,5,poor,"good, poor"
5,6,1,1.4540801148752325,1.440178656275485,1.0977459561855567,poor,0.956031133191053,5,good,"poor, good"
6,7,1,1.264907131539305,1.1078958625040038,1.0977459561855567,poor,12.412869302446673,5,poor,"poor, poor"
7,8,1,1.869546818605282,1.815279022283903,1.0977459561855567,poor,2.902724648632428,5,good,"poor, good"
8,9,1,2.520785301377974,2.4648809808215715,1.0977459561855567,poor,2.217734311836986,5,good,"poor, good"
9,10,1,4.339943152985812,4.040960731114981,1.0977459561855567,poor,6.8890861315806875,5,poor,"poor, poor"
10,11,1,2.1317479009844704,2.1778694660900197,1.0977459561855567,poor,2.16355625748475,5,good,"poor, good"
11,12,1,5.508481474861777,4.994562451046763,1.0977459561855567,poor,9.329595209865166,5,poor,"poor, poor"
12,13,1,2.012956227800625,1.6588062976057274,1.0977459561855567,poor,17.59352365957034,5,poor,"poor, poor"
13,14,1,0.0270197468343805,0.0701433216518981,1.0977459561855567,good,159.60021787712034,5,poor,"good, poor"
14,15,1,1.7946162095379976,1.823820718708868,1.0977459561855567,poor,1.6273400973230212,5,good,"poor, good"
15,16,1,1.0869794796679797,1.025332063385887,1.0977459561855567,good,5.671442509744815,5,poor,"good, poor"
16,17,1,0.4975324918281835,0.2492606889193996,1.0977459561855567,good,49.9006209617605,5,poor,"good, poor"
17,18,1,0.9523957742717244,1.563458133074447,1.0977459561855567,good,64.16054914460202,5,poor,"good, poor"
18,19,1,0.8102025481349033,0.8203319539946338,1.0977459561855567,good,1.2502313011787554,5,good,"good, good"
19,20,1,0.5317524284023395,0.5883696730297039,1.0977459561855567,good,10.647294041979649,5,poor,"good, poor"
20,21,1,0.9173178897873532,0.8704654188905308,1.0977459561855567,good,5.107550110865435,5,poor,"good, poor"
21,22,1,0.8040909257718094,0.8392127973315742,1.0977459561855567,good,4.367898011789265,5,good,"good, good"
22,23,1,0.4637278393590447,0.6560828184794542,1.0977459561855567,good,41.48014477333917,5,poor,"good, poor"
23,24,1,1.9033054737528767,1.850615203658376,1.0977459561855567,poor,2.768355937662896,5,good,"poor, good"
