f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cor_init,nbc.nn_nb.mean_ratio,ela_level.lda_qda_10,ic.m0,nbc.dist_ratio.coeff_var,ela_level.lda_mda_10,ela_meta.lin_simple.adj_r2,ela_level.qda_mda_50,ela_level.mmce_qda_50,ela_distr.kurtosis,ic.eps.s,ela_level.qda_mda_10,ela_level.mmce_lda_50,ela_level.qda_mda_25,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_50,ela_meta.quad_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_mda_25,pca.expl_var.cor_init,ela_level.lda_mda_25,disp.diff_median_10,disp.diff_median_02
1,1,-0.4214669307363612,-0.2994703830868193,-0.34100626221968544,-0.0328812837871919,-0.004059698303862151,-0.003566612991226909,0.018002840041459703,-0.032182500325697694,-0.07086557750661798,0.009770036140589593,0.005491966347758485,-0.0556249615136739,0.003860405270068372,-0.03326201137328583,-0.025550251977501888,-0.016243690368053707,0.00028971033157261896,-0.02498956276240394,0.0006740020879958902,0.006663247437579378,-0.014281823465231318,0.0007808668613625152,-0.002120030347401528,-0.01303659917001217,-0.0052641036931881015,-0.001202429996150387,-0.0001646498457365188,0.0026161420735039058,0.004495051516933872,-0.003132873509530413
1,2,-0.43731921959511927,-0.3092328474310632,-0.3388126700822259,-0.022588773069807645,-0.005253665818518144,-0.001810590067521628,0.016813039886219218,-0.03161777300543875,-0.06377300410551735,0.010559047188433467,-0.037780007920341405,-0.05632498076072904,-0.0010490879011979225,-0.03242421853334794,-0.025598871971338935,-0.015841034590345388,0.00046508965722105245,-0.02976459918636462,-0.0033500062302793754,0.005684499734416813,-0.021943187978217777,-0.0032025808191515417,-0.0025078934606480047,-0.015481240237314798,-0.0016169859315341012,-0.004286579957672588,-0.00029511307987329814,0.003086122361537522,0.004385948248207202,0.000978131921639103
1,4,-0.43631216580740917,-0.31341811819972815,-0.33858099828402505,-0.022141333395936783,0.002610201068002498,-0.0020184456739370258,0.017642920815822458,-0.032182500325697694,-0.06051516553255732,0.010228845558102767,-0.03773329003172904,-0.05890106321243618,0.00024311917846705675,-0.03695547419445735,-0.025614993302855292,-0.01563054724566284,0.0004956864795810111,-0.028956508994403697,-0.0021856663172373915,0.005697666349500976,-0.01985469081852746,-0.0006632157755426406,-0.002431017521723095,-0.014206916805487446,-0.0016169859315341012,-0.002320709983720597,-0.00029511307987329814,0.003053160466206751,0.0042968019738837005,0.0009521173276047193
1,5,-0.4363262214439283,-0.3134193932960502,-0.33858099828402505,-0.022141333395936783,0.0025214734247060956,-0.0020184456739370258,0.017642920815822458,-0.032182500325697694,-0.06051516553255732,0.010228845558102767,-0.03773329003172904,-0.0588750486184018,0.00026913377250144005,-0.03695547419445735,-0.02558897870882091,-0.01563054724566284,0.0004956864795810111,-0.028956508994403697,-0.0021856663172373915,0.005697666349500976,-0.01985469081852746,-0.0006632157755426406,-0.002431017521723095,-0.014206916805487446,-0.0016169859315341012,-0.002320709983720597,-0.00029511307987329814,0.003053160466206751,0.0042968019738837005,0.000978131921639103
2,1,0.3420586016005624,-0.2652721008763471,-0.6410641550723285,0.016364998042039752,0.0005491947596568494,-0.000767742022753164,-0.016245061830488402,-0.008593917965234796,0.0039228984224662766,-0.006449605189658982,0.020128429228308313,-0.017076694189296814,-0.006466468527670877,-0.009256150251397918,-0.015654614411805354,0.01999235899930099,-0.0572854079391788,-0.011013056859295808,0.0038739899744991806,-0.018287496323880284,-0.006070951779114471,0.0005807422197141614,-0.008705079533526791,-0.00011676375395585584,-0.0010629958910045928,-0.0006288391723720721,-0.00017154323871707488,-0.0017939265368459194,-0.016405190230510132,-0.023825926817417065
2,2,0.33965240189339235,-0.26763502389892646,-0.6560518546736099,0.015147158544922048,0.00043935376920422264,-0.009876494193590461,-0.024600880020551077,0.0034477903160400193,0.0012781708283716605,-0.005938231120071576,0.020362577463988375,-0.017096605545172117,-0.009545754404192723,-0.012786658784588525,-0.015968813331040735,0.018726065197781853,0.014418649699933726,-0.00922984862203189,-0.0261726880105663,-0.014064649836824587,0.018529888569006368,0.0019191025154820028,-0.007379002686762637,-0.0016272793040441281,-0.007660490730632926,-0.0007038729795976655,-0.00017154323871707488,-0.008262751336426741,-0.015793233974418418,-0.029122610345849648
2,4,0.3307382219932667,-0.2637074975666288,-0.6532161307161857,0.010828093197289003,0.00045833855177527106,-0.013748581958332184,-0.017670645064953076,-0.008752463707846546,0.002466831994609199,-0.00593828583022284,-0.02020779223396045,0.010849994547140163,-0.009592170227688384,-0.012190650686691635,-0.017611828178626027,0.009525403060047278,-0.05915314168647758,-0.0005144299081492464,0.006547014867355434,-0.01870670440348105,0.019568440410116898,0.0007822101520051345,0.012653389890580062,-0.0017592248223296742,-0.008938605511735483,-0.0017515040654488658,2.314446091625981e-05,-0.002957626499012622,-0.011562474857178609,-0.022269624628242453
2,5,0.37007205812670385,-0.2761600947143604,-0.5989270662492148,0.022489659780161084,-0.0007469270964728393,-0.0007800980820498772,-0.016107954304261325,-0.008756332922260385,-0.022249217413642584,-0.006181750680491996,-0.016044174485835755,-0.01801809259259583,-0.0056202112566171945,-0.008736337584859392,-0.01175161692106672,0.018086560186098652,-0.057169235228259035,-0.009989755196751937,0.005384804275909179,-0.016254823050952966,-0.01087748569837501,-0.001125104100148128,-0.003263786808351727,0.000716661622807242,-0.0010629958910045928,-0.0018844116455194182,-0.000288912324464952,-0.0059651321974272375,-0.015151157696584063,-0.024895769884283554
3,1,0.3716302189734941,-0.24391486558867753,0.13088015393535118,0.029616587407785507,-0.00952342774849333,-0.010109513996361848,-0.03802956177365555,-0.009351390369284866,0.01542175786874095,0.0017558829471960467,-0.024257550794522142,-0.005240196217784486,-0.01304543494525911,-0.010774409835089819,-0.0002493869324659351,0.02296827156390473,0.011093135318406862,-0.003347756505486096,0.00562065490053254,-0.017567993271280738,-0.0055374628798539015,0.0014191505154984487,-0.015019643091483216,-0.017159787214111724,-0.0011424349932676642,0.0005903720812551635,8.008775062822771e-05,-0.004659824801420288,0.02323470236539211,0.018703645928615228
3,2,0.39915632833180636,-0.2423358183932684,0.120343331420721,0.0467719451824283,-0.0034816700177480336,-0.008847288822691805,-0.04002436395984531,-0.008346817832527071,-0.02677636813146675,-0.015728122711228285,-0.0223696222469867,-0.020799863255934525,-0.013219202097298922,-0.01056938429020321,-0.007098451858177179,0.03351354311267191,0.012253690626739425,-0.014298828204982706,0.0038250870982456486,-0.016441128430098585,-0.025612208594693292,-4.5257655259999733e-05,-0.0032338164969754565,-0.00840248140729054,-0.0015749803285004388,3.3812212033880614e-05,-0.0024388734412273544,0.0008131641504897317,0.020358718687500454,0.01325533772045824
