f_id,i_id,dim0,dim1
1,1,-4.419964,9.086718
1,2,-4.567384,9.232632
1,3,-4.306745,9.284742
1,4,-4.4878907,9.38946
2,1,8.9953785,3.6918814
2,2,9.321933,3.4341767
2,3,9.407897,4.1400747
2,4,9.254483,3.920144
3,1,21.38751,10.754285
3,2,20.145807,10.151514
3,3,19.820255,9.829795
3,4,20.449476,10.394498
4,1,20.830786,10.114095
4,2,20.465757,9.9093485
4,3,20.710667,9.97782
4,4,20.31668,9.306534
5,1,1.6394081,10.347898
5,2,1.9293646,9.962043
5,3,1.6667591,10.171708
5,4,1.6841222,10.233867
6,1,19.734774,10.293862
6,2,19.880201,9.617555
6,3,20.41298,9.477489
6,4,19.30381,9.966917
7,1,19.450027,11.01202
7,2,19.709719,11.495195
7,3,19.817015,11.192579
7,4,19.742125,10.746635
8,1,22.65399,4.592582
8,2,21.797974,4.637396
8,3,21.981535,4.9304843
8,4,22.440355,5.0191097
9,1,22.194878,4.4568
9,2,22.06087,4.2423663
9,3,22.024412,4.6080637
9,4,22.519415,4.401429
10,1,9.994108,4.050411
10,2,9.799823,3.6133947
10,3,9.587754,3.8580616
10,4,9.811144,3.621134
11,1,19.3941,9.624438
11,2,19.318724,9.585184
11,3,19.553404,9.150518
11,4,10.237232,3.9081874
12,1,10.129606,3.1711106
12,2,9.879573,2.9650116
12,3,9.992821,2.9935954
12,4,9.7300205,2.8814833
13,1,22.341154,5.339877
13,2,22.132488,5.5750866
13,3,21.955896,5.3620386
13,4,21.853024,5.3006334
14,1,-4.079042,11.399015
14,2,-3.7724276,11.102733
14,3,-3.8460498,11.732215
14,4,-3.7411766,11.617303
15,1,21.064575,10.43823
15,2,20.58883,10.915915
15,3,20.374203,10.589933
15,4,21.02485,10.672239
16,1,-3.68231,10.226196
16,2,-3.6498423,10.325011
16,3,-3.3715196,10.559459
16,4,-3.1523924,10.550842
17,1,-3.5010238,11.302714
17,2,-4.248664,10.541331
17,3,-4.0645204,10.661197
17,4,-4.295388,10.908717
18,1,20.120024,10.845677
18,2,-3.1244867,11.485014
18,3,-3.3611848,11.351222
18,4,-3.1414404,11.123845
19,1,-4.7329135,10.646668
19,2,-5.054328,10.675703
19,3,-4.8886466,10.882469
19,4,-4.652499,11.121859
20,1,2.6820128,10.323233
20,2,2.9573264,10.340741
20,3,2.8948205,10.065325
20,4,3.025356,10.191195
21,1,0.53991175,10.497097
21,2,0.76717824,10.723049
21,3,0.49020743,10.342552
21,4,0.9544709,10.381408
22,1,0.69330275,10.954431
22,2,0.8405799,10.901141
22,3,1.0036508,11.050113
22,4,1.2382749,10.992308
23,1,-3.1419451,9.80587
23,2,-3.399834,9.85533
23,3,-3.5625706,9.89402
23,4,-3.070672,10.05895
24,1,21.742414,9.877435
24,2,22.007524,9.717821
24,3,21.959536,10.096404
24,4,21.840544,9.9054
