f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_mda_10,ela_level.mmce_lda_10,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,ela_meta.lin_simple.coef.min,nbc.dist_ratio.coeff_var,disp.ratio_mean_02,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.mean_ratio,ic.h.max,ic.eps.s,disp.diff_median_02,ela_level.lda_mda_50,ela_level.qda_mda_10,disp.diff_mean_02,disp.ratio_median_10,disp.ratio_mean_10,disp.diff_mean_10,ela_level.mmce_qda_50,nbc.nb_fitness.cor,ela_distr.kurtosis,ela_level.lda_qda_10,disp.ratio_mean_05,ela_level.lda_mda_10
1,2,-0.6149883319492926,-0.0930773600726041,-0.17931712788505433,-0.048834953594461036,-0.04305205671388097,-0.09592163290351018,0.008682022048777955,0.010931470828346473,0.025410797232305375,0.01909742532091207,-0.0014330786734599742,0.020088208449722228,0.005550943146393171,0.030190732690844196,0.011077744916875682,0.0017670991377147782,-0.030035629769491628,0.0111671340599094,0.002591596623609598,0.002196949748528062,0.014779707363088455,0.006642092818630425,0.006701810638543223,0.001891087023793738,-0.0007417153692437645,0.0022028775284659995,-0.009993032702582833,0.005931449282719275,0.0020657119312493043,-0.004232619242001821
2,2,1.646071030021135,0.18507998506885476,0.1624610706065333,0.15620619238912842,-0.02935994280422269,-0.13666198300529397,0.0021824348542925846,0.01993458170364094,-0.03959791370679927,-0.006979006939393594,-0.008431724149046589,-0.010223848617120907,0.0012061227035283749,0.004354701230065318,-0.006905021848957791,-0.02663837952710208,-0.00352979740897361,-0.01500876554511021,0.004573546233442637,0.030651098205451855,-0.01115790997273484,-0.01484540893795093,-0.007379621736467046,-0.008146974497136781,0.0011089439991163075,-0.032585650768832096,-0.03506641670206464,0.04789234495856227,-0.006382410624005718,0.002983875920363179
3,2,0.06682526766998403,-0.05292291798305275,0.11137231572187781,-0.03139785300103478,-0.025615651756415017,0.02827621359243809,0.01934799416743178,0.037254421396014675,-0.009934310044384073,-0.01419942513311318,-0.002927219137276029,-0.015778425882443894,0.002388044127273132,0.015158645495189619,-0.005110164350721841,-0.008221992533570727,0.009246792967138448,0.008179806540959048,0.018729817814054295,0.0004788323731935458,0.0043093123428295105,0.004530797930791287,0.003359454890997802,0.001118605539014551,-0.0020955737275746046,-0.009281966961675776,-0.004933512499964613,0.003721983798913116,-0.0005988742187482945,-0.018175502159063536
4,2,0.05088422674759616,-0.05802334530674198,0.10611702676325023,-0.036141271784175553,-0.022308870601209327,0.02259121476316167,0.01779741382005563,0.034209365826275796,-0.01666055770642055,-0.010318033622490182,-0.002135091112660344,-0.019683765803445944,-0.009444989082166583,0.013850668201494675,-0.005658397360976747,-0.003936616983342419,0.007528173007987322,-0.006286795294824742,-0.035615402896644666,0.003815050998709309,-0.003861346819079195,0.004604737175117585,0.0029747190454515026,0.0013884257255387098,-0.003586125004467312,-0.00904859781125614,-0.0071499524797318265,0.0048365312835832374,5.356777969325822e-06,0.0006611763809712797
5,2,-0.4407549586208565,-0.0919907182625822,-0.12382026723855005,-0.046269851327013604,0.11290085648863862,-0.08218382680131261,0.013498587485228378,0.014542010648182755,-0.010736907507757758,2.1256867500215056e-06,-0.0017076979516842032,-0.005034315768986129,-0.006900309207136112,0.015505544031259193,-0.006793882285182253,0.016719775996435322,-0.008806098516703362,-0.004205044472008926,0.0041073291201282865,0.002690445983176418,-0.005405874826833385,-0.00441874212709073,-0.0022708341879251557,-0.0007520125871505934,0.003269861356942266,-0.004693906368360017,0.001745447569680719,0.0053074557747612005,-0.0010901519296277237,-0.005661682942743097
6,2,0.08083526217350899,-0.0213004804092778,0.1061176248945868,-0.031198863077584356,-0.0201408254433939,0.027767678824098647,0.018548497647951363,0.03504045686442077,-0.019585147261556975,-0.011364060375723758,-0.002847972303254799,-0.01692280332507877,-0.010113364673790457,-0.0016041669840601372,-0.00542097547807812,-0.0025022998420523423,0.02457646325520969,-0.011940826727125377,0.012602414650875261,0.0038074740178022522,-0.008914849494331998,0.00201145540076705,0.0004232013250956786,0.0016315277163054492,-0.005862104300183379,-0.006102277849809162,-0.004497161165427549,0.006884280981518027,-0.0023686908090915634,-0.0010894999115486387
7,2,-0.07637647337990774,-0.10486384791334717,0.04714963238629272,-0.047236884831116446,-0.022671988004404824,0.02068263879893945,-0.1885278354060634,-0.2700674763852013,-0.022506170903789705,-0.010307897817872886,-0.0019038035843020331,-0.01540707498758714,-0.010533480238628785,-0.010011787117795117,-0.006893809277327883,-0.008243682374082678,-0.007995162529593931,-0.011252963196148302,-0.017625904672752636,0.0012248444738202243,-0.008097153158710005,-0.005134682066033067,-0.013101293341670319,-0.001805293273671077,-0.003986791792375686,-0.0059901561420200285,-0.005693608507399863,-0.0011072593967029955,-0.0031472212499230766,0.0050538399157518295
8,2,0.12342024916278718,-0.015912091440160453,0.13104746115506227,-0.04038528685784759,-0.009942035905349597,0.031018763071781936,0.02471308034118251,0.041152925903331736,0.0260408523248196,-0.010589511325516627,-0.0020236957279707274,0.014061314605682051,0.014256142336295836,-0.007751500400116117,-0.009844266845301727,0.013149570493838449,0.013494305709542666,0.026174835053917163,0.01338921919185987,0.0037867116758122836,0.01975483477166818,0.012453385807739435,0.010684015590324537,0.0035719890369849752,0.010874694124536255,0.0030276874380934004,-0.004552740217019408,0.009488063936238135,0.009442209656242017,-0.0021557678721585865
9,2,0.11626923719454538,-0.030439161460185913,0.12047701162846035,-0.036295807981290694,-0.02641206952619987,0.019663145926816655,0.02116204112477667,0.03985984432313315,0.048873215345589964,-0.005649867365597283,-0.001251978604872734,0.04787671478290918,0.015276154062245858,-0.005247864076795223,0.021122211349961603,0.012991109905417263,0.012440426250692157,0.025678175147879106,0.0076245562198333046,0.005459321442592728,0.008619922667997342,0.007611168310612989,0.0037318639812970967,0.005792431249785973,0.0012313994645903638,0.0026744838181289245,-0.006886547972131091,0.002859294466717895,0.008841892151270576,0.0023336712159990596
10,2,1.6820287869748234,0.6426770674238539,0.21343930597501135,0.16261793696509833,-0.02945657604396973,-0.00024794262212022504,-0.09158795320328363,-0.12712636763195648,-0.04892067122919084,-0.00536808040505328,-0.00560927915592929,-0.002576999905316591,0.004610017031026814,0.015841877535963004,-0.00910102145098171,-0.021637361634727324,-0.0038273008546305643,-0.013754454730685147,0.0018516617085473763,-0.02509674436486256,-0.008735123778413996,-0.018739069369362735,-0.008577427740992285,-0.007959178709646441,0.0013979618250572542,-0.015710676992955325,-0.0586935960944408,-0.023345240508752037,-0.012446262930218433,-0.001105008540575675
