f_id,i_id,dim0,dim1
1,4,14.128938,2.2089243
2,4,13.388035,0.5815292
3,4,-4.6193805,8.351557
4,4,-5.0359697,6.6902795
5,4,15.470402,2.797092
6,4,12.871685,-1.501475
7,4,13.603211,-0.47632697
8,4,-3.2212665,7.8015213
9,4,-2.1365583,6.7424846
10,4,10.690531,-1.2383426
11,4,10.017773,-0.17622314
12,4,11.362236,-1.7009598
13,4,-5.3085265,6.846351
14,4,13.377052,-2.6107843
15,4,-4.1157627,5.740084
16,4,-0.7365213,5.8623934
17,4,13.90139,-3.2548878
18,4,13.504288,-2.626332
19,4,2.5386717,3.6760836
20,4,15.359052,1.3570985
21,4,2.025709,5.536233
22,4,1.0301602,5.5682154
23,4,1.1243012,3.767645
24,4,-2.497704,4.7251654
