f_id,i_id,dim0,dim1
1,1,2.6119022,11.59135
2,1,9.624389,-4.1057515
3,1,-2.111049,4.8415937
4,1,1.0106734,7.856354
5,1,1.4120128,12.163384
6,1,10.24834,-5.2740116
7,1,0.55252343,11.163296
8,1,11.807613,-3.8765557
9,1,11.707801,-1.712507
10,1,9.618892,-4.5247135
11,1,10.405143,-1.709461
12,1,9.098663,-2.1608686
13,1,1.4979479,12.214354
14,1,1.8602073,9.670683
15,1,-0.89709544,7.6965427
16,1,-2.1576269,1.0786833
17,1,1.0709696,7.809403
18,1,0.84294856,7.927449
19,1,-3.4344292,2.7743802
20,1,10.739984,-5.4996715
21,1,-0.54413056,2.2895036
22,1,-0.2833418,3.358516
23,1,-1.6599649,1.4153403
24,1,-0.8665475,4.151649
