feature_name,feature_importance,rank
ic.eps.ratio,0.22851460875804233,1
ic.eps.s,0.2075982955953981,2
ela_meta.lin_simple.coef.max_by_min,0.1389172257258934,3
nbc.nb_fitness.cor,0.12862158898701134,4
ela_level.mmce_lda_50,0.09871156651000144,5
pca.expl_var_PC1.cor_init,0.07968175849262225,6
ela_level.mmce_lda_25,0.07944702549608519,7
ela_level.mmce_lda_10,0.07051159521406468,8
ela_level.lda_mda_25,0.06938739506787733,9
ela_meta.lin_w_interact.adj_r2,0.06588647885874026,10
ela_level.mmce_mda_50,0.06583391973013923,11
ela_level.qda_mda_50,0.05902281727257561,12
pca.expl_var.cor_init,0.05448013921138684,13
ela_level.mmce_mda_10,0.049245475958824864,14
ic.m0,0.04495377431012809,15
ela_level.mmce_qda_10,0.04227750584715422,16
ela_meta.quad_simple.adj_r2,0.041759596629460737,17
ela_distr.skewness,0.03546710663063649,18
nbc.nn_nb.sd_ratio,0.03441435028529024,19
ela_distr.number_of_peaks,0.03332113602808589,20
ela_distr.kurtosis,0.032276978544534346,21
ela_level.lda_qda_10,0.030482242054191904,22
ela_meta.lin_simple.adj_r2,0.028970740173369453,23
ic.eps.max,0.02786127517263169,24
ela_level.lda_mda_10,0.025865613612269387,25
disp.diff_median_25,0.024726656695028187,26
disp.ratio_mean_25,0.024519001417399933,27
disp.diff_mean_25,0.0240098115987416,28
disp.ratio_median_25,0.022714498294983287,29
ela_level.qda_mda_10,0.02077602416462063,30
