feature_name,feature_importance,rank
ic.eps.ratio,0.23424525126863105,1
ic.eps.s,0.21379946557868246,2
nbc.nb_fitness.cor,0.13782580316270765,3
ela_level.mmce_lda_50,0.09859275254823247,4
pca.expl_var_PC1.cor_init,0.0838959382091613,5
ela_level.lda_mda_25,0.08227884608884094,6
ela_level.mmce_lda_25,0.08121463409274278,7
ela_level.qda_mda_50,0.07506960134370728,8
ela_level.mmce_mda_50,0.06501280717592146,9
ela_meta.lin_simple.coef.max_by_min,0.06479000339386266,10
ela_distr.kurtosis,0.06390762111149789,11
pca.expl_var.cor_init,0.06242206912609021,12
ela_distr.skewness,0.061890245271453696,13
ic.eps.max,0.05569642800752433,14
ela_level.mmce_lda_10,0.05514308626962596,15
ela_meta.lin_w_interact.adj_r2,0.05463925853695287,16
ela_distr.number_of_peaks,0.04693000798893012,17
ela_meta.quad_simple.adj_r2,0.046502622243948,18
nbc.nn_nb.sd_ratio,0.04611312541324555,19
ela_level.mmce_qda_10,0.04231136443721383,20
ic.m0,0.040524088698034894,21
ela_level.mmce_mda_10,0.04043008204893316,22
ela_level.lda_qda_10,0.03274113801257369,23
ela_level.lda_mda_10,0.032319998898339905,24
disp.diff_median_25,0.0322633121922232,25
ela_meta.lin_simple.adj_r2,0.030614073603704644,26
disp.ratio_mean_25,0.030423602134691585,27
disp.diff_mean_25,0.029856819957923757,28
disp.ratio_median_25,0.02956795785586229,29
ela_level.qda_mda_10,0.025480373784827644,30
