f_id,i_id,dim0,dim1
1,2,12.793965,12.9979105
1,3,12.9699545,12.756855
1,4,12.872723,12.935259
1,5,12.546624,12.478337
2,2,16.857843,8.169066
2,3,16.801102,8.687379
2,4,16.531466,8.337666
2,5,16.998972,8.510393
3,2,20.877405,13.567952
3,3,20.517319,13.80316
3,4,20.60917,13.407641
3,5,12.209185,9.06217
4,2,20.78256,13.751492
4,3,20.740376,13.303652
4,4,21.012934,13.599794
4,5,20.852905,13.900064
5,2,11.97692,13.159272
5,3,11.879598,13.279195
5,4,11.843433,12.874793
5,5,12.1774,13.247286
6,2,15.961563,9.497602
6,3,16.232883,9.202917
6,4,16.34093,9.501659
6,5,15.786599,9.331609
7,2,12.448494,11.471237
7,3,12.461751,10.934569
7,4,12.283833,11.193859
7,5,12.506426,11.793872
8,2,15.729265,8.220449
8,3,15.99116,8.179482
8,4,12.934189,8.020967
8,5,16.108395,7.9758844
9,2,12.064022,7.542068
9,3,12.159554,7.6644845
9,4,12.369141,7.7881236
9,5,11.896115,7.546652
10,2,17.247683,9.209354
10,3,17.557566,9.082238
10,4,17.420603,9.454093
10,5,17.622711,9.602517
11,2,17.88289,9.3192835
11,3,17.098965,9.622239
11,4,16.978086,9.428534
11,5,17.81104,9.490723
12,2,15.527969,10.26168
12,3,15.129124,10.325031
12,4,15.436986,10.573832
12,5,15.234845,10.656499
13,2,12.407067,12.587885
13,3,12.514132,10.361557
13,4,12.4459715,10.363654
13,5,12.322639,9.753468
14,2,12.884189,12.148644
14,3,12.917207,11.269638
14,4,13.145322,11.450684
14,5,13.213513,11.943365
15,2,14.635651,10.8769455
15,3,14.741048,11.009154
15,4,13.196901,10.857189
15,5,13.46249,10.401564
16,2,-7.166391,1.7134
16,3,-7.3080764,1.5483781
16,4,-7.4688973,1.9344307
16,5,-7.3728237,1.8595849
17,2,14.52983,12.147573
17,3,13.594031,12.401849
17,4,14.27208,12.251479
17,5,14.688434,11.694884
18,2,14.55574,12.019853
18,3,13.514632,12.363675
18,4,14.281729,11.995134
18,5,14.31076,11.459797
19,2,11.621676,8.036356
19,3,11.715075,8.602186
19,4,11.830651,8.271293
19,5,11.947002,8.343028
20,2,15.837358,8.796342
20,3,15.553193,9.016408
20,4,15.769707,8.635349
20,5,15.574574,8.713157
21,2,-7.8862934,3.0203466
21,3,-8.072205,2.7640188
21,4,-7.8582506,2.9715106
21,5,-8.223703,3.2568038
22,2,-8.280264,2.7400916
22,3,-8.659963,3.038406
22,4,-8.627989,2.856541
22,5,-8.401235,2.7576568
23,2,-8.163991,1.8456529
23,3,-8.332784,2.0328207
23,4,-8.525627,2.2849026
23,5,-8.19658,2.1875045
24,2,11.148812,8.368581
24,3,11.421918,8.887615
24,4,11.049025,8.544091
24,5,11.26781,8.613294
