feature_name,feature_importance,rank
ic.eps.max,0.18094664558706994,1
ic.eps.ratio,0.1286490811067503,2
ic.eps.s,0.10989652477434307,3
ela_meta.lin_simple.coef.max_by_min,0.06699541399395507,4
ela_level.lda_mda_50,0.04810768627645821,5
ela_level.lda_qda_10,0.03615482037729261,6
ela_meta.quad_simple.cond,0.03390584834958441,7
pca.expl_var_PC1.cor_x,0.02890792974233973,8
ic.h.max,0.026653603030161108,9
ela_level.qda_mda_10,0.026018852117649215,10
pca.expl_var.cor_init,0.02505786570132358,11
ela_level.mmce_lda_10,0.024644017028030245,12
ela_level.qda_mda_50,0.0245653541816602,13
ela_level.mmce_mda_10,0.023233425826732722,14
ela_meta.quad_simple.adj_r2,0.022719332004498344,15
nbc.nn_nb.sd_ratio,0.019634892729820965,16
ela_level.lda_mda_25,0.019388795614589477,17
ela_distr.kurtosis,0.01909387397313098,18
ela_distr.skewness,0.0190511108428197,19
ela_distr.number_of_peaks,0.01898174411679227,20
ela_level.lda_qda_25,0.018975619157210577,21
nbc.nb_fitness.cor,0.017925301916063813,22
nbc.nn_nb.mean_ratio,0.017894168513389944,23
nbc.nn_nb.cor,0.017207840096954977,24
ela_level.lda_mda_10,0.015205829619351052,25
ela_level.lda_qda_50,0.015094291756604405,26
disp.ratio_mean_25,0.015023587174575317,27
ela_level.mmce_qda_10,0.014654164286931776,28
nbc.dist_ratio.coeff_var,0.014101315712845433,29
ic.m0,0.013989668272060517,30
ela_level.mmce_lda_50,0.012596604699588024,31
disp.diff_mean_25,0.012552390193982202,32
ela_level.mmce_qda_50,0.012405551050375926,33
disp.diff_mean_10,0.012331047656463852,34
disp.diff_median_25,0.012255444947649782,35
pca.expl_var_PC1.cor_init,0.011945609224912002,36
disp.diff_median_02,0.011832489192344224,37
ela_meta.lin_w_interact.adj_r2,0.011815393832587609,38
disp.diff_mean_05,0.011808086054347355,39
disp.ratio_median_25,0.011796151694671174,40
disp.diff_median_05,0.01104911686233044,41
disp.ratio_median_02,0.010944392940549582,42
disp.ratio_mean_02,0.010935767012789909,43
disp.diff_mean_02,0.010924258944657893,44
disp.ratio_mean_10,0.010901957017206412,45
ela_meta.quad_w_interact.adj_r2,0.010646221388392801,46
ela_level.mmce_mda_50,0.010416795600109477,47
ela_meta.lin_simple.adj_r2,0.010335885234586447,48
ela_level.qda_mda_25,0.010296685790957225,49
disp.ratio_median_05,0.010287580764509129,50
disp.ratio_median_10,0.010013478364924082,51
ela_level.mmce_lda_25,0.010002836022727543,52
ela_level.mmce_qda_25,0.00979311609096751,53
disp.ratio_mean_05,0.009341511393292272,54
ela_meta.lin_simple.intercept,0.009228734040728178,55
disp.diff_median_10,0.009113525516842634,56
ela_level.mmce_mda_25,0.008727609864313882,57
pca.expl_var_PC1.cov_init,0.007194472188982869,58
pca.expl_var.cov_init,0.006682963620323542,59
ela_meta.lin_simple.coef.max,0.006646545077173725,60
ela_meta.lin_simple.coef.min,0.005201036410932141,61
