feature_name,feature_importance,rank
pca.expl_var.cor_init,0.048763129424947184,1
ela_level.lda_qda_10,0.043534083917311804,2
ic.eps.ratio,0.04052546770776246,3
ela_meta.lin_simple.coef.max_by_min,0.035804547725997886,4
ic.eps.s,0.034664156720939136,5
ela_meta.quad_simple.cond,0.03341468880645551,6
ela_level.mmce_lda_10,0.02491439903871215,7
ela_level.qda_mda_50,0.022720610923764758,8
ela_level.qda_mda_10,0.022484125814748675,9
pca.expl_var_PC1.cor_x,0.02088463219706503,10
ela_level.mmce_mda_10,0.02003353753252018,11
pca.expl_var.cov_init,0.018386662225740102,12
ic.eps.max,0.017292369189467877,13
ic.h.max,0.01704615341713087,14
ela_level.lda_qda_25,0.0159095508316162,15
ela_level.lda_mda_25,0.015859780003469465,16
disp.ratio_mean_25,0.015655715399607438,17
ela_distr.skewness,0.014957076392075252,18
disp.diff_median_25,0.01468008576677169,19
nbc.nn_nb.sd_ratio,0.014609484391941895,20
disp.diff_mean_25,0.014595127463276838,21
ela_level.lda_mda_50,0.013879694919764903,22
ela_meta.quad_simple.adj_r2,0.013620383295819037,23
disp.ratio_median_25,0.013598231815919353,24
nbc.nb_fitness.cor,0.013390918971521906,25
ela_level.mmce_lda_50,0.013315666649819653,26
ela_level.lda_qda_50,0.013314131840724176,27
disp.ratio_mean_02,0.01327397464211852,28
disp.diff_mean_10,0.013252161243076516,29
disp.diff_median_02,0.01320697585236171,30
disp.ratio_mean_05,0.013120499551209837,31
pca.expl_var_PC1.cor_init,0.013118024797561486,32
disp.ratio_mean_10,0.013099299122437333,33
disp.diff_mean_05,0.012942238561862952,34
nbc.nn_nb.cor,0.012920638030296056,35
disp.diff_mean_02,0.012917006561142773,36
disp.ratio_median_02,0.012707563968650769,37
disp.diff_median_10,0.012652532025554143,38
ela_distr.kurtosis,0.012499827569687073,39
ela_level.mmce_qda_10,0.012129146915126557,40
ela_level.mmce_mda_25,0.012126291870255912,41
ela_level.lda_mda_10,0.012103865888735466,42
disp.ratio_median_05,0.011588390576735412,43
nbc.dist_ratio.coeff_var,0.011507405116241168,44
ela_distr.number_of_peaks,0.011419178491566302,45
nbc.nn_nb.mean_ratio,0.011374514547718347,46
disp.ratio_median_10,0.011244807400654625,47
disp.diff_median_05,0.010300971366045646,48
ela_meta.lin_simple.adj_r2,0.010269988038648264,49
ela_level.mmce_lda_25,0.009951540469962728,50
ela_meta.lin_w_interact.adj_r2,0.00986087210281815,51
ela_level.qda_mda_25,0.009689573453060664,52
ic.m0,0.009265205522820162,53
ela_level.mmce_qda_25,0.009062581165546212,54
ela_level.mmce_mda_50,0.008869467082041851,55
ela_meta.quad_w_interact.adj_r2,0.008369495799732327,56
ela_level.mmce_qda_50,0.008039250986558761,57
ela_meta.lin_simple.coef.min,0.007876184002178226,58
ela_meta.lin_simple.intercept,0.0077577433174550944,59
pca.expl_var_PC1.cov_init,0.007521500776785989,60
ela_meta.lin_simple.coef.max,0.006696821851056745,61
