feature_name,feature_importance,rank
ic.eps.max,0.39958178373392367,1
ela_meta.lin_simple.intercept,0.16323877079571095,2
ic.eps.ratio,0.12591017805605592,3
ela_meta.lin_simple.coef.max,0.11770070967425789,4
ela_meta.quad_w_interact.adj_r2,0.048194095120418536,5
ela_distr.skewness,0.033106348746118834,6
ic.eps.s,0.03034933127921738,7
pca.expl_var_PC1.cov_init,0.025249862659596653,8
ela_level.mmce_lda_10,0.022933088370276702,9
ela_level.mmce_mda_10,0.021098395212055848,10
nbc.nn_nb.cor,0.01715096023230318,11
nbc.nn_nb.mean_ratio,0.01677395499006213,12
ela_meta.lin_simple.coef.min,0.015917817937651155,13
nbc.nb_fitness.cor,0.014387293207784167,14
ela_meta.lin_simple.coef.max_by_min,0.01226436177388724,15
ela_level.lda_mda_25,0.011594624921126812,16
disp.ratio_mean_02,0.011227521345261835,17
disp.diff_median_25,0.010865074751254441,18
ela_distr.kurtosis,0.010478070011007238,19
nbc.nn_nb.sd_ratio,0.009574371775803003,20
pca.expl_var_PC1.cor_init,0.009336014017060646,21
disp.diff_mean_02,0.008540979051368983,22
ic.h.max,0.00833275068807751,23
ela_level.qda_mda_10,0.007847690767719562,24
nbc.dist_ratio.coeff_var,0.0064479752145519915,25
disp.ratio_mean_10,0.006142752828521575,26
disp.diff_median_05,0.005129212264617812,27
ela_meta.quad_simple.adj_r2,0.004939941524345953,28
disp.ratio_median_02,0.004916893481422313,29
disp.diff_mean_05,0.004541431770952813,30
disp.diff_mean_25,0.0042950043756465285,31
disp.ratio_mean_05,0.004162927822237482,32
disp.ratio_mean_25,0.004153912517065751,33
ela_level.qda_mda_25,0.0034904937938374362,34
ela_meta.quad_simple.cond,0.0032763588747514497,35
disp.diff_median_10,0.0029413476059261755,36
ela_level.qda_mda_50,0.0026338872752086433,37
disp.diff_median_02,0.0026295847969229156,38
pca.expl_var_PC1.cor_x,0.0025809539813917456,39
ela_level.mmce_qda_25,0.0025745883506404035,40
ela_distr.number_of_peaks,0.002490081060125697,41
ela_level.lda_qda_50,0.002441689400950004,42
ela_meta.lin_w_interact.adj_r2,0.002325978683451038,43
ela_level.lda_qda_25,0.0021611410678972183,44
ela_meta.lin_simple.adj_r2,0.0020959849150265063,45
ela_level.mmce_qda_50,0.002030242507909137,46
disp.ratio_median_25,0.001807280819296985,47
disp.diff_mean_10,0.001739242250141653,48
ela_level.mmce_lda_50,0.0015881129634694284,49
ela_level.lda_qda_10,0.0015843999330007275,50
ela_level.mmce_mda_50,0.0014944739775358627,51
disp.ratio_median_10,0.0013547617105357263,52
ela_level.lda_mda_10,0.0012677614225792885,53
ela_level.lda_mda_50,0.0010995221548902965,54
ela_level.mmce_lda_25,0.0010019918552996152,55
ela_level.mmce_qda_10,0.0009430314401914002,56
ic.m0,0.0008956328147520475,57
disp.ratio_median_05,0.0008721647634530465,58
ela_level.mmce_mda_25,0.0003238665763221797,59
pca.expl_var.cov_init,0.0002257352173347922,60
pca.expl_var.cor_init,2.1365702208790894e-05,61
