feature_name,feature_importance,rank
ic.eps.max,0.516332096694228,1
ic.eps.ratio,0.1479237767080524,2
ela_meta.lin_simple.intercept,0.12840903376019996,3
ela_meta.lin_simple.coef.max,0.06762026816194498,4
ela_meta.quad_w_interact.adj_r2,0.0648263900083598,5
ela_distr.skewness,0.04119665802551969,6
ela_level.mmce_lda_10,0.02793784278716305,7
ic.eps.s,0.02096339438143305,8
nbc.nn_nb.sd_ratio,0.020653313710391856,9
ela_level.mmce_mda_10,0.01849147652941675,10
nbc.nb_fitness.cor,0.016672409998125054,11
pca.expl_var_PC1.cov_init,0.01624690898076325,12
ela_level.qda_mda_10,0.014947112214809979,13
nbc.nn_nb.cor,0.013359141081641083,14
ela_level.lda_mda_25,0.013256711327086732,15
disp.ratio_mean_02,0.011763885440749784,16
ic.h.max,0.00950652263010506,17
ela_meta.lin_simple.coef.min,0.00943114384638037,18
nbc.nn_nb.mean_ratio,0.009317034781463958,19
ela_distr.kurtosis,0.008580469618469115,20
disp.diff_mean_05,0.008377681572044545,21
disp.diff_median_10,0.008249098900372656,22
ela_meta.lin_simple.coef.max_by_min,0.007107459552426501,23
disp.ratio_mean_05,0.006655142170700003,24
disp.diff_median_05,0.0057489673360471075,25
nbc.dist_ratio.coeff_var,0.005525585087474001,26
disp.ratio_median_05,0.004783639406800066,27
ela_level.qda_mda_25,0.004021715075758364,28
disp.diff_mean_25,0.0038394135464584734,29
disp.ratio_median_10,0.003835331431414311,30
disp.diff_median_25,0.0035457784612065325,31
disp.ratio_median_02,0.003325844623702509,32
ela_level.lda_qda_50,0.003243392611827968,33
pca.expl_var_PC1.cor_x,0.0032077211409872793,34
disp.diff_mean_02,0.002772627117178943,35
ela_level.lda_qda_25,0.002627670346579252,36
disp.diff_median_02,0.0026210436966917373,37
ela_level.qda_mda_50,0.0025092031007485243,38
ic.m0,0.0023284261547844567,39
ela_level.mmce_mda_50,0.002298994573407752,40
ela_level.lda_mda_10,0.0022791125344555387,41
disp.ratio_mean_25,0.0022384513423689286,42
ela_distr.number_of_peaks,0.0022256944308941067,43
ela_level.lda_mda_50,0.00221018660845626,44
ela_meta.quad_simple.cond,0.0021780738497798467,45
ela_level.mmce_qda_10,0.0021329833396525823,46
ela_meta.lin_w_interact.adj_r2,0.0020309561768756634,47
disp.ratio_median_25,0.0019811020461931307,48
pca.expl_var_PC1.cor_init,0.0019076471622710416,49
ela_level.mmce_qda_50,0.0017991855830325149,50
disp.ratio_mean_10,0.0017195002740355231,51
ela_meta.lin_simple.adj_r2,0.0014911558383984564,52
disp.diff_mean_10,0.0013195776482946258,53
ela_level.mmce_mda_25,0.001226653274783642,54
ela_level.lda_qda_10,0.0012234230921088392,55
ela_level.mmce_qda_25,0.0011988025429709324,56
ela_level.mmce_lda_50,0.0011577112151587106,57
ela_meta.quad_simple.adj_r2,0.001040315310335144,58
ela_level.mmce_lda_25,0.0010205790023897151,59
pca.expl_var.cor_init,0.00021686964583217025,60
pca.expl_var.cov_init,4.240740274726908e-05,61
