feature_name,feature_importance,rank
ic.eps.ratio,0.19294195424353608,1
ic.eps.s,0.175460650522438,2
ela_meta.lin_simple.coef.max_by_min,0.1118215577306295,3
nbc.nb_fitness.cor,0.0891314167938455,4
ela_level.mmce_lda_10,0.07570210642933597,5
ela_level.mmce_mda_10,0.07537539568546785,6
ela_level.mmce_lda_50,0.07102629382159113,7
ela_meta.lin_w_interact.adj_r2,0.06033391041109765,8
nbc.nn_nb.sd_ratio,0.05759328559970628,9
ela_level.lda_mda_10,0.05164804762875478,10
ela_level.mmce_lda_25,0.047071490026717455,11
ic.m0,0.04428420289843323,12
ela_level.mmce_qda_10,0.04387647941864533,13
ic.eps.max,0.0428441736498908,14
ela_meta.lin_simple.adj_r2,0.03939560647507737,15
ela_level.lda_qda_10,0.03655995177076862,16
ela_level.mmce_mda_50,0.03628501171952129,17
pca.expl_var.cor_init,0.03611086770015102,18
ela_level.qda_mda_50,0.03524830668463927,19
pca.expl_var_PC1.cor_init,0.03236717488294585,20
ela_distr.kurtosis,0.030989893856997002,21
ela_meta.quad_simple.adj_r2,0.029782245275568636,22
pca.expl_var_PC1.cor_x,0.029168723725555564,23
disp.diff_mean_25,0.028123338393156238,24
disp.ratio_mean_25,0.027749496242980537,25
ela_level.lda_qda_25,0.027671004763555208,26
ela_level.lda_mda_25,0.026862270578575143,27
disp.ratio_median_25,0.026374621637974088,28
ela_distr.number_of_peaks,0.02575241937735752,29
disp.diff_median_25,0.02557474282552637,30
ela_level.mmce_qda_50,0.023281533521065687,31
ela_level.mmce_mda_25,0.02299008062476923,32
ela_level.qda_mda_25,0.022314184309123113,33
ela_level.qda_mda_10,0.022069131763399367,34
pca.expl_var.cov_init,0.02185035063490728,35
pca.expl_var_PC1.cov_init,0.021243839682098132,36
ela_distr.skewness,0.020437613581584992,37
ic.h.max,0.020228940851356264,38
ela_meta.quad_simple.cond,0.020148540932286314,39
ela_level.lda_mda_50,0.01597618607168934,40
ela_level.mmce_qda_25,0.015401651286103248,41
ela_level.lda_qda_50,0.014591373406874837,42
disp.diff_mean_02,0.013731856728464399,43
ela_meta.quad_w_interact.adj_r2,0.012309966029856602,44
nbc.dist_ratio.coeff_var,0.012113122837689824,45
disp.ratio_mean_02,0.01183048904136108,46
disp.ratio_median_05,0.011264061714459107,47
disp.ratio_median_02,0.010577844597185193,48
nbc.nn_nb.cor,0.010443000414639766,49
disp.diff_median_05,0.010011347029074658,50
disp.diff_median_02,0.009814436404441322,51
disp.diff_mean_10,0.00856038676279326,52
nbc.nn_nb.mean_ratio,0.008408392001736967,53
disp.diff_median_10,0.00837282467205957,54
disp.ratio_mean_10,0.00817828763205239,55
ela_meta.lin_simple.intercept,0.008144089005004325,56
disp.diff_mean_05,0.008127183234288949,57
disp.ratio_mean_05,0.007440073757162523,58
disp.ratio_median_10,0.006827805279842993,59
ela_meta.lin_simple.coef.max,0.004308011605756418,60
ela_meta.lin_simple.coef.min,0.0035936615916161616,61
