feature_name,feature_importance,rank
ic.eps.ratio,0.09161863572600398,1
ela_level.qda_mda_50,0.08458155438646668,2
ic.eps.s,0.08423692343582767,3
ela_level.qda_mda_25,0.06311354383179742,4
ela_level.lda_mda_25,0.05380601783469346,5
ela_meta.quad_simple.adj_r2,0.053306016841231735,6
ela_distr.number_of_peaks,0.05307237919066876,7
ela_level.mmce_lda_50,0.04832718052363852,8
nbc.nn_nb.sd_ratio,0.045556534937719474,9
ela_level.lda_qda_10,0.04362260108028179,10
ela_meta.quad_simple.cond,0.0432190594186207,11
pca.expl_var_PC1.cov_init,0.03973131967396002,12
ela_meta.lin_simple.coef.max_by_min,0.03958030001525438,13
nbc.nb_fitness.cor,0.03934852934808398,14
ela_level.lda_qda_25,0.03925002245468095,15
ela_level.lda_mda_10,0.03656325518455173,16
ela_level.mmce_lda_25,0.03466272199598491,17
ela_meta.lin_simple.adj_r2,0.03449852398798748,18
ela_meta.quad_w_interact.adj_r2,0.033994130448167306,19
ela_level.mmce_lda_10,0.03126262589990393,20
ela_level.mmce_qda_50,0.030298296124382503,21
pca.expl_var.cor_init,0.029972368672731165,22
ela_distr.kurtosis,0.0281787189693911,23
ela_level.mmce_mda_10,0.026644689042389248,24
ela_level.mmce_mda_25,0.025966852788095005,25
pca.expl_var_PC1.cor_x,0.023298880253410054,26
ela_level.lda_qda_50,0.022720489209125533,27
ela_meta.lin_w_interact.adj_r2,0.021858172486417988,28
disp.diff_mean_25,0.02183672123244572,29
ela_distr.skewness,0.020966562948335415,30
disp.ratio_mean_25,0.020900203406710154,31
disp.diff_median_25,0.020896498242298722,32
nbc.nn_nb.cor,0.020622991877962776,33
disp.ratio_median_25,0.020151418297512557,34
pca.expl_var.cov_init,0.019735524227031027,35
ela_level.qda_mda_10,0.018972486045326607,36
ic.h.max,0.017680841017805305,37
ela_level.mmce_mda_50,0.015358986815706207,38
disp.ratio_median_02,0.01454355247309242,39
disp.diff_median_02,0.014135284285660896,40
ic.eps.max,0.013040647550250306,41
ic.m0,0.012968135401102874,42
disp.diff_mean_02,0.012449832557622007,43
disp.ratio_mean_02,0.011971870542143943,44
disp.ratio_median_05,0.011900108673455033,45
disp.diff_median_05,0.011873107827637341,46
disp.ratio_mean_10,0.01147024654871407,47
disp.diff_mean_10,0.011468768209932381,48
pca.expl_var_PC1.cor_init,0.011348769830244021,49
disp.diff_median_10,0.011154483579454607,50
ela_level.mmce_qda_10,0.010894530351146653,51
disp.ratio_median_10,0.010849990862401106,52
nbc.dist_ratio.coeff_var,0.010622154970806291,53
disp.diff_mean_05,0.010560682465523169,54
disp.ratio_mean_05,0.010479129344162686,55
nbc.nn_nb.mean_ratio,0.009451220970400152,56
ela_level.mmce_qda_25,0.007985666436837865,57
ela_level.lda_mda_50,0.007984216416556993,58
ela_meta.lin_simple.coef.min,0.004148620205102948,59
ela_meta.lin_simple.intercept,0.0038458709486016607,60
ela_meta.lin_simple.coef.max,0.003021872084724296,61
